Numero,Compuesto bioactivo,Base de datos,SMILES,TIPO DE SMILES,Actividad anticancerígena,Enlaces del artículo de PubMed
57,Neoquassin,Pubchem,C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2C(=O)C(=C([C@@H]4CC(O3)O)C)OC)C)C)OC,Isomérico,"Inhibir la síntesis de proteínas mediante la inhibición de la actividad de la enzima peptidil-transferasa ribosómica que se encarga de elongar la cadena proteica, una función éster en C6 o C15, dos grupos hidroxilos libres y un puente oximetileno entre C8 y C11 o C13 en el anillo C. Según Fukamiya et al. (2005), la naturaleza de la cadena en C15 es muy importante en las propiedades antileucémicas y antimaláricas de los quasinoides, así como en su habilidad para inducir diferenciación celular.",https://www.redalyc.org/pdf/856/85670502.pdf
,,,,,,
58,11-Dihidro-12-norneoquasina,Pubchem,CC1C=C(C(=O)C2(C1CC3C4(C2C(C(=O)C(C4CC(O3)O)C)O)C)C)OC,Canónico,Quassinoide relacionado con actividades citotóxicas y antitumorales reportadas para extractos de Quassia; su familia química muestra potencial antitumoral in vitro e in vivo.,https://www.redalyc.org/pdf/856/85670502.pdf 
59,Simalikalactona D,Pubchem,CC[C@@H](C)C(=O)O[C@@H]1[C@@H]2[C@]3([C@@H]([C@@H]([C@@H]4[C@@]2(CO3)[C@@H](C[C@@H]5[C@@]4([C@@H](C(=O)C=C5C)O)C)OC1=O)O)O)C,Isomérico,"Inhibir la síntesis proteica, estos compuestos, sin embargo, también ejercen cierto efecto en la apoptosis y diferenciación celular.",https://www.redalyc.org/pdf/856/85670502.pdf
60,Cardanol,ChEMBL,C=CC/C=C\C/C=C\CCCCCCCc1cccc(O)c1,Isomérico,Cardanol presenta actividad antiproliferativa y puede inducir arresto del ciclo y apoptosis en líneas tumorales (estudios en propóleo y extractos).,https://pubmed.ncbi.nlm.nih.gov/26694491/
,,,,,,
61,Cardol,ChEBI,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1,Canónico,"Cardol muestra potente actividad antiproliferativa in vitro (p. ej. SW620), induce arresto de ciclo y apoptosis.",https://pubmed.ncbi.nlm.nih.gov/28472978/
,,,,,,
62,Citral,ChEBI,CC(C)=CCC/C(C)=C/C=O,Isomérico,Citral reduce crecimiento tumoral y actúa sobre células madre cancerígenas (inhibe ALDH1A3); múltiples estudios preclínicos.,https://pubmed.ncbi.nlm.nih.gov/27592281/
,,,,,,
63,Geraniol,DrugBank,CC(C)=CCC\C(C)=C\CO,Isomérico,Monoterpeno con actividad antitumoral en varios tipos de cáncer; modula múltiples vías y puede sensibilizar quimioterapia.,https://pubmed.ncbi.nlm.nih.gov/26983575/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/35661738/ aparecen 3 compuestos más.
64,Linalol,ChEMBL,C=CC(C)(O)CCC=C(C)C,Canónico,Linalool muestra actividad antiproliferativa y pro-apoptótica en células tumorales; estudios y revisiones disponibles.,https://pubmed.ncbi.nlm.nih.gov/27956800/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/35727696/ 
65,Carvona o carvone,ChEBI,C=C(C)C1CC=C(C)C(=O)C1,Canónico,"Monoterpeno (carvona) con actividad antiproliferativa y proapoptótica reportada en múltiples estudios; reduce adhesión, migración e invasión en células de cáncer de mama y mieloma, y provoca arresto del ciclo y apoptosis. Estudios in vivo e in vitro disponibles.",PubMed: https://pubmed.ncbi.nlm.nih.gov/30003746/  estudio en mama: https://pubmed.ncbi.nlm.nih.gov/37059214/  revisión de propiedades: https://pubmed.ncbi.nlm.nih.gov/34944447/. 
66,Piperitona,ChEMBL,CC1=CC(=O)C(C(C)C)CC1,Canónico,"Piperitona/piperitone (monoterpeno relacionado) y compuestos de Piper spp. muestran actividad quimiopreventiva y citotóxica; la literatura sobre 'piperitona' aislada es más limitada que la de piperina, pero extractos de Piper y derivados muestran efectos anticancerígenos.",Revisiones sobre piperine y compuestos de Piper: https://pubmed.ncbi.nlm.nih.gov/28545378/  revisión reciente: https://pubmed.ncbi.nlm.nih.gov/39467259/. 
67,Tagetenona,PubChem,CC(=CC(=O)/C=C(/C)\C=C)C,Isomérico,Diterpenoides y componentes volátiles de Tagetes (tagetenona y similares) han mostrado actividad citotóxica en fracciones y aceites esenciales contra líneas tumorales; hay estudios in vitro y aislamiento de nuevos metabolitos con citotoxicidad.,Estudios sobre Tagetes y compuestos citotóxicos: https://pubmed.ncbi.nlm.nih.gov/28807229/  estudio de extracto con efecto citotóxico: https://pubmed.ncbi.nlm.nih.gov/37894532/. 
68,Dihidrocarvona,ChEBI,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,Isomérico,Dihydrocarvone (carvone-related) ha mostrado actividad citotóxica/anticancerígena en modelos preclínicos.,https://pubmed.ncbi.nlm.nih.gov/34944447/ 
69,Naringina,DrugBank,[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C(=O)C[C@H](O3)C3=CC=C(O)C=C3)C(O)=C2)O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,Isomérico,"Naringin muestra actividad antitumoral en múltiples estudios: inhibe proliferación, induce apoptosis, reduce invasión/metástasis y puede aumentar sensibilidad a fármacos.",Review/estudios: https://pubmed.ncbi.nlm.nih.gov/35119637/   https://pubmed.ncbi.nlm.nih.gov/22213297/  review: https://pubmed.ncbi.nlm.nih.gov/PMC10469811/. 
70,Ácido cafeico,ChEMBL,O=C(O)/C=C/c1ccc(O)c(O)c1,Isomérico,"Caffeic acid y derivados (p. ej. CAPE) muestran efectos anticancerígenos: pro-apoptosis, anti-proliferación y moduladores de vías inflamatorias.",https://pubmed.ncbi.nlm.nih.gov/35359383/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/39062873/ 
71,Ácido ferúlico,ChEBI,[H]C(=CC1=CC=C(O)C(OC)=C1)C(O)=O,Canónico,"Ferulic acid presenta actividad antitumoral en múltiples estudios preclínicos (inducción de apoptosis, inhibición de metastasis).",https://pubmed.ncbi.nlm.nih.gov/39347187/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/40076243/ 
72,Metil eugenol,ChEMBL,C=CCc1ccc(OC)c(OC)c1,Canónico,Methyl eugenol ha mostrado efectos citotóxicos/anticancerígenos en células tumorales en estudios preclínicos y en combinación con otros agentes.,https://pubmed.ncbi.nlm.nih.gov/30358228/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/25972998/  aparecen 1 compuestos más.
73,"1,8-Cineol",DrugBank,C[C@@]12CC[C@@H](CC1)C(C)(C)O2,Isomérico,"Muestra actividad antitumoral en varios estudios (in vitro y en modelos de xenoinjerto), induce apoptosis y estrés oxidativo en células cancerosas.",https://pubmed.ncbi.nlm.nih.gov/28651231/ 
74,Paclitaxel,Pubchem,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,Isomérico,"La percepción dominante, por lejos, ha sido que los efectos antitumorales del paclitaxel ocurren debido a su capacidad para detener las células en metafase en husos bipolares.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4161504/#:~:text=El%20taxol%20(nombre%20gen%C3%A9rico:%20paclitaxel,como%20del%20sarcoma%20de%20Kaposi."
,,,,,,
75,Curcumina,DrugBank,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,Isomérico,"Curcumina (curcuminoide principal de Curcuma longa) con amplia evidencia anticancerígena: inhibe proliferación, induce apoptosis, modula NF-_B, PI3K/AKT/mTOR, angiogénesis y metastasis; numerosos ensayos preclínicos y ensayos clínicos en fases tempranas.",Revisiones clave: https://pubmed.ncbi.nlm.nih.gov/30818786/  https://pubmed.ncbi.nlm.nih.gov/34572272/  revisión 2024: https://pubmed.ncbi.nlm.nih.gov/38863589/. 
76,Demetoxicurcumina,ChEMBL,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,Isomérico,Demetoxicurcumina (DMC) presenta actividad antiproliferativa y proapoptótica; inhibe señales oncogénicas (p. ej. AKT/mTOR) y muestra efectos en modelos de glioma y otros tumores; se estudia también como análogo terapéutico.,Estudios específicos y revisiones: https://pubmed.ncbi.nlm.nih.gov/40449866/  https://pubmed.ncbi.nlm.nih.gov/23777448/  análogos: https://pubmed.ncbi.nlm.nih.gov/33221748/. 
77,Bisdemetoxicurcumina,ChEMBL,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,Isomérico,"BDMC muestra efectos antitumorales multimecanísticos: inhibición de proliferación, migración e invasión; induce apoptosis y potencia quimioterapia en modelos preclínicos (ej. próstata, pulmón, glioma).",Revisión y estudios: https://pubmed.ncbi.nlm.nih.gov/28075008/  potenciación con docetaxel: https://pubmed.ncbi.nlm.nih.gov/39143009/  estudios mecanísticos: https://pubmed.ncbi.nlm.nih.gov/26332341/. 
78,Ácido clorogénico,ChEBI,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,Isomérico,"Ácido clorogénico (CGA) ejerce efectos anticancerígenos: inhibe proliferación, induce apoptosis, modula metabolismo y reduce crecimiento tumoral en modelos preclínicos; evidencia in vitro e in vivo y revisiones disponibles.",Revisiones y estudios: https://pubmed.ncbi.nlm.nih.gov/36243332/  revisión PMC: https://pmc.ncbi.nlm.nih.gov/articles/PMC6815948/
,,,,,,reseña 2024: https://pubmed.ncbi.nlm.nih.gov/38910475/. 
79,Ácido Sinápinico,PubChem,COC1=CC(=CC(=C1O)OC)/C=C\C(=O)O,Isomérico,"Ácido sinápico (sinapic acid) y sus derivados muestran actividad antiproliferativa, apoptótica y efectos sobre migración/invasión; evidencia en colon, páncreas, próstata y otros modelos preclínicos.",Estudios y revisiones: https://pubmed.ncbi.nlm.nih.gov/36996488/  https://pubmed.ncbi.nlm.nih.gov/29792952/  revisión: https://pubmed.ncbi.nlm.nih.gov/33988797/. 
80,Ácido p-cumárico,DrugBank,OC(=O)\C=C\C1=CC=C(O)C=C1,Isomérico,"Revisa mecanismos antitumorales: inducción de apoptosis, bloqueo del ciclo celular, actividad antiinflamatoria y reducción de clonogenicidad, especialmente en cáncer colorrectal y melanoma.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9830577/ 
81,Ácido Protocatecuico,DrugBank,OC(=O)C1=CC=C(O)C(O)=C1,Canónico,"Amplio soporte como agente quimiopreventivo/anticancerígeno: antioxidante, pro-apoptótico, modulación de vías de señalización asociadas al cáncer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11012759/ 
82,Luteína,ChEMBL,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Isomérico,Varios estudios muestran actividad antiproliferativa y pro-apoptótica en líneas tumorales; puede aumentar ROS y afectar vías de supervivencia celular en dosis altas.,https://pubmed.ncbi.nlm.nih.gov/36770846/ 
83,Violaxantina,DrugBank,C\C(\C=C\C=C(/C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,Isomérico,Antiproliferativa en líneas de cáncer mamario en estudios in vitro; además demuestra efectos antiinflamatorios por inhibición de NF-_B.,https://pubmed.ncbi.nlm.nih.gov/21673891/ 
84,Neoxantina,PubChem,C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C=C1[C@](C[C@H](CC1(C)C)O)(C)O)/C=C/C=C(/C)\C=C\[C@]23[C@](O2)(C[C@H](CC3(C)C)O)C,Isomérico,Xantofila con reportes recientes de actividad anticancerígena y propiedades quimiopreventivas en estudios in vitro; investigación emergente sugiere inducción de apoptosis y actividad antioxidante.,https://pubmed.ncbi.nlm.nih.gov/38173069/ 
85,Ácido gálico,ChEBI,OC(=O)c1cc(O)c(O)c(O)c1,Canónico,"Amplia evidencia de actividad anticancerígena: induce apoptosis, modula JAK/STAT3 y otras vías, y potencia quimioterapéuticos en modelos celulares.",https://pubmed.ncbi.nlm.nih.gov/34755289/ 
86,Ácido Salicílico,DrugBank,OC(=O)C1=CC=CC=C1O,Canónico,Evidencia de actividad anticancerígena en combinación con fármacos (p. ej. cisplatino); también propiedades que promueven estrés reticular y apoptosis en modelos específicos.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665072/ 
87,Lupeol,DrugBank,[H][C@]12[C@@H](CC[C@]1(C)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C,Isomérico,Triterpeno con actividad citotóxica demostrada en múltiples líneas celulares; induce apoptosis y modula vías como NF-_B y PI3K/Akt en modelos preclínicos.,https://pubmed.ncbi.nlm.nih.gov/23302759/ 
88,Mirceno,ChEBI,C=CC(=C)CC(=O)C=C(C)C,Canónico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Mirceno).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
89,Limoneno,ChEMBL,C=C(C)C1CC=C(C)CC1,Canónico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Limoneno).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
90,Acetogeninas anonáceas,PubChem,CCCCCCC(C(CCC(C1CCC(O1)CCCCC(CC2=CC(OC2=O)C)O)O)O)O,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Acetogeninas anonáceas).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
91,Annocherina A,PubChem,COC1=C(C=C2C(=C1)C=CN=C2[C@H](C3=CC=C(C=C3)O)O)O,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Annocherina A).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
92,Annocherina B,ChEBI,O([C@H](C1=NC=CC=2C1=CC(O)=C(OC)C2)C3=CC=C(O)C=C3)C,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Annocherina B).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
93,Annomolina,ChEMBL,CCCCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H](CCCCC[C@@H](O)[C@H](O)CC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Annomolina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
94,Anonaína,ChEMBI,[H][C@]12Cc3ccccc3-c3c4OCOc4cc(CCN1)c23,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Anonaína).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
95,Miricetina,DugBank,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,Canónico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Miricetina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
96,Ácido oleanólico,ChEMBL,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Isomérico,"Compuestos fenólicos y ácidos fenólicos: inducción de apoptosis, inhibición del ciclo celular, y actividad quimiopreventiva. Ver revisión. (Compuesto: Ácido oleanólico).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657352/ 
97,Ácido ursólico,DrugBank,[H][C@@]12[C@@H](C)[C@H](C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,Isomérico,"Compuestos fenólicos y ácidos fenólicos: inducción de apoptosis, inhibición del ciclo celular, y actividad quimiopreventiva. Ver revisión. (Compuesto: Ácido ursólico).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657352/ 
98,Dictamnina,ChEMBL,COc1c2ccccc2nc2occc12,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Dictamnina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
99,_-Fagarina (Gamma-fagarina),ChEBI,COc1c2ccoc2nc2c(OC)cccc12,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: _-Fagarina (Gamma-fagarina)).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
100,Skimianina (o Skimmianina),ChEMBL,COc1ccc2c(OC)c3ccoc3nc2c1OC,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Skimianina (o Skimmianina)).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
101,Kokusaginina (o Coccusaginina),ChEBI,COc1cc2nc3occc3c(OC)c2cc1OC,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Kokusaginina (o Coccusaginina)).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
102,Graveolina,ChEMBL,Cn1c(-c2ccc3c(c2)OCO3)cc(=O)c2ccccc21,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Graveolina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
103,Arborinina,ChEBI,COc1cc2c(c(O)c1OC)c(=O)c1ccccc1n2C,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Arborinina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
104,Naringenina,DrugBank,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Naringenina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
105,Taxifolina (Taxifolin),DrugBank,O[C@@H]1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C(O)=C1,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Taxifolina (Taxifolin)).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
106,Diosmina,DrugBank,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O1,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Diosmina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
107,Hesperidina,ChEBI,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Hesperidina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
108,Cirsimaritina,ChEMBL,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1OC,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Cirsimaritina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
109,Hispidulina,DrugBank,COC1=C(O)C2=C(OC(=CC2=O)C2=CC=C(O)C=C2)C=C1O,Canónico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Hispidulina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
110,Verbenona,DrugBank,CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,Isomérico,"Se han sintetizado derivados de (S)-verbenona (como SP-8356) con potente actividad anticancerígena: SP-8356 induce arresto del ciclo celular, apoptosis (caspasa-3/7) en células de cáncer de mama, y reduce la motilidad e invasión de células triple negativas (TNBC) e incluso en modelos in vivo.",Estudio clave: derivados de verbenona (SP-8356) en cáncer de mama. https://pubmed.ncbi.nlm.nih.gov/37772541/
,,,,,,Artículo en Scientific Reports sobre SP-8356: inhibe proliferación y metástasis.
,,,,,,https://www.nature.com/articles/s41598-019-41224-y?utm
,,,,,,Artículo PMC: efecto antitumoral de SP-8356. https://pmc.ncbi.nlm.nih.gov/articles/PMC10777321/ 
111,Ácido Carnósico,ChEBI,[H][C@@]12CCc3cc(C(C)C)c(O)c(O)c3[C@@]1(C(=O)O)CCCC2(C)C,Isomérico,"Compuestos fenólicos y ácidos fenólicos: inducción de apoptosis, inhibición del ciclo celular, y actividad quimiopreventiva. Ver revisión. (Compuesto: Ácido Carnósico).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657352/ 
112,Carnosol,ChEBI,[H][C@@]12C[C@@H]3OC(=O)[C@@]1(CCCC2(C)C)c1c3cc(C(C)C)c(O)c1O,Isomérico,"Compuestos fenólicos y ácidos fenólicos: inducción de apoptosis, inhibición del ciclo celular, y actividad quimiopreventiva. Ver revisión. (Compuesto: Carnosol).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657352/ 
113,_-cariofileno,DrugBank,[H][C@]12CC(C)(C)[C@]1([H])CC\C(C)=C/CCC2=C,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: _-cariofileno).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
114,Humuleno,ChEMBL,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Humuleno).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
115,Boldina,ChEMBL,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Boldina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
116,Ramnetina,ChEBI,COc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Ramnetina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
117,Isorhamnetol,ChEBI,COc1cc(ccc1O)-c1oc2cc(O)cc(O)c2c(=O)c1O,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Isorhamnetol).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
118,Alicina,DrugBank,C=CCSS(=O)CC=C,Canónico,"Compuestos sulfurados (ajo): actividad quimiopreventiva y citotóxica reportada, mecanismos incluyen apoptosis mitocondrial y modulación redox. (Compuesto: Alicina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10067574/ 
119,Dialil trisulfano,ChEBI,C=CCSSSCC=C,Canónico,"Compuestos sulfurados (ajo): actividad quimiopreventiva y citotóxica reportada, mecanismos incluyen apoptosis mitocondrial y modulación redox. (Compuesto: Dialil trisulfano).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10067574/ 
120,Disulfuro de dialilo,ChEMBL,C=CCSSCC=C,Canónico,"Compuestos sulfurados (ajo): actividad quimiopreventiva y citotóxica reportada, mecanismos incluyen apoptosis mitocondrial y modulación redox. (Compuesto: Disulfuro de dialilo).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10067574/ 
121,Ajoene,ChEMBL,C=CCSS/C=C/C[S+]([O-])CC=C,Isomérico,"Compuestos sulfurados (ajo): actividad quimiopreventiva y citotóxica reportada, mecanismos incluyen apoptosis mitocondrial y modulación redox. (Compuesto: Ajoene).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10067574/ 
122,Anonaina (Annonaine),ChEBI,[H][C@@]12Cc3ccccc3-c3c4c(cc(c31)CCN2)OCO4,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Anonaina (Annonaine)).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
123,Asimilobina (Asimilobine),ChEMBL,COc1c(O)cc2c3c1-c1ccccc1C[C@@H]3NCC2,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Asimilobina (Asimilobine)).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
124,Reticulina (Reticuline),ChEBI,COc1ccc(C[C@H]2c3cc(O)c(OC)cc3CCN2C)cc1O,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Reticulina (Reticuline)).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
125,D-Limonene,DrugBank,CC(=C)[C@@H]1CCC(C)=CC1,Isomérico,"D-limoneno tiene amplia evidencia preclínica (y revisiones) que describen actividad quimiopreventiva y citotóxica: inhibe iniciación y crecimiento tumoral, promueve apoptosis, afecta vías Ras/ERK y PI3K/Akt, y reduce angiogénesis en modelos animales e in vitro; existen revisiones sistemáticas y ensayos clínicos preliminares en el área.",https://pubmed.ncbi.nlm.nih.gov/33864293/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/33289132/
,,,,,,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-021-08639-1 
126,_-Cadinene,ChEMBL,CC1=C[C@@H]2C(=C(C)CC[C@H]2C(C)C)CC1,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: _-Cadinene).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
,,,,,,
